INTERPOLATION:INTERPOLATED
0,102,0,51,255,0
40,103,1,51,255,4
80,104,3,51,255,8
120,105,5,51,255,12
160,106,7,51,255,16
200,108,9,51,255,20
240,109,11,51,255,24
280,110,13,51,255,28
320,111,15,51,255,32
360,113,18,51,255,36
400,114,20,51,255,40
440,115,22,51,255,44
480,116,24,51,255,48
520,118,26,51,255,52
560,119,28,51,255,56
600,120,30,51,255,60
640,121,32,51,255,64
680,123,34,51,255,68
720,124,36,51,255,72
760,125,38,51,255,76
800,126,40,51,255,80
840,128,42,51,255,84
880,129,44,51,255,88
920,130,46,51,255,92
960,131,48,51,255,96
1000,133,50,51,255,100
1040,134,53,51,255,104
1080,135,55,51,255,108
1120,136,57,51,255,112
1160,137,59,51,255,116
1200,138,61,51,255,120
1240,139,63,51,255,124
1280,140,65,51,255,128
1320,141,67,51,255,132
1360,143,69,51,255,136
1400,144,71,51,255,140
1440,145,73,51,255,144
1480,146,75,51,255,148
1520,148,77,51,255,152
1560,149,79,51,255,156
1600,150,81,51,255,160
1640,151,83,51,255,164
1680,153,85,51,255,168
1720,154,87,51,255,172
1760,155,89,51,255,176
1800,156,91,51,255,180
1840,158,93,51,255,184
1880,159,95,51,255,188
1920,160,98,51,255,192
1960,161,100,51,255,196
2000,163,102,51,255,200
2040,164,104,51,255,204
2080,165,106,51,255,208
2120,166,108,51,255,212
2160,167,110,51,255,216
2200,169,112,51,255,220
2240,170,114,51,255,224
2280,171,116,51,255,228
2320,172,118,51,255,232
2360,174,120,51,255,236
2400,175,122,51,255,240
2440,176,124,51,255,244
2480,177,126,51,255,248
2520,179,128,51,255,252
2560,180,130,51,255,256
2600,181,132,51,255,260
2640,182,134,51,255,264
2680,184,136,51,255,268
2720,185,138,51,255,272
2760,186,140,51,255,276
2800,187,142,51,255,280
2840,189,144,51,255,284
2880,190,146,51,255,288
2920,191,148,51,255,292
2960,192,150,51,255,296
3000,194,152,51,255,300
3040,195,154,51,255,304
3080,196,156,51,255,308
3120,197,159,51,255,312
3160,198,161,51,255,316
3200,200,163,51,255,320
3240,201,165,51,255,324
3280,202,167,51,255,328
3320,203,169,51,255,332
3360,205,171,51,255,336
3400,206,173,51,255,340
3440,207,175,51,255,344
3480,208,177,51,255,348
3520,210,179,51,255,352
3560,211,181,51,255,356
3600,212,183,51,255,360
3640,213,185,51,255,364
3680,215,187,51,255,368
3720,216,189,51,255,372
3760,217,191,51,255,376
3800,218,193,51,255,380
3840,219,195,51,255,384
3880,220,197,51,255,388
3920,221,199,51,255,392
3960,222,201,51,255,396
4000,224,204,51,255,400
4040,225,206,51,255,404
4080,226,208,51,255,408
4120,227,210,51,255,412
4160,228,212,51,255,416
4200,230,214,51,255,420
4240,231,216,51,255,424
4280,232,218,51,255,428
4320,233,220,51,255,432
4360,235,222,51,255,436
4400,236,224,51,255,440
4440,237,226,51,255,444
4480,238,228,51,255,448
4520,240,230,51,255,452
4560,241,232,51,255,456
4600,242,234,51,255,460
4640,243,236,51,255,464
4680,245,239,51,255,468
4720,246,241,51,255,472
4760,247,243,51,255,476
4800,248,245,51,255,480
4840,250,247,51,255,484
4880,251,249,51,255,488
4920,252,251,51,255,492
4960,253,253,51,255,496
5000,255,255,51,255,500
5040,255,255,51,255,504
5080,255,255,51,255,508
5120,255,255,51,255,512
5160,255,255,51,255,516
5200,253,253,50,255,520
5240,251,252,50,255,524
5280,249,251,49,255,528
5320,248,250,49,255,532
5360,246,248,48,255,536
5400,245,247,48,255,540
5440,243,246,48,255,544
5480,242,245,48,255,548
5520,240,243,47,255,552
5560,238,242,47,255,556
5600,236,241,46,255,560
5640,235,240,46,255,564
5680,233,238,45,255,568
5720,232,237,45,255,572
5760,230,236,44,255,576
5800,229,235,44,255,580
5840,227,233,43,255,584
5880,225,232,43,255,588
5920,224,231,43,255,592
5960,222,230,43,255,596
6000,220,228,42,255,600
6040,219,227,42,255,604
6080,217,226,41,255,608
6120,216,225,41,255,612
6160,214,224,40,255,616
6200,212,222,40,255,620
6240,211,221,39,255,624
6280,209,220,39,255,628
6320,207,219,38,255,632
6360,205,218,38,255,636
6400,204,217,38,255,640
6440,202,216,38,255,644
6480,200,215,37,255,648
6520,199,213,37,255,652
6560,197,212,36,255,656
6600,196,211,36,255,660
6640,194,210,35,255,664
6680,193,208,35,255,668
6720,191,207,35,255,672
6760,189,206,35,255,676
6800,188,205,34,255,680
6840,186,203,34,255,684
6880,185,202,33,255,688
6920,183,201,33,255,692
6960,181,200,32,255,696
7000,180,198,32,255,700
7040,178,197,31,255,704
7080,176,196,31,255,708
7120,174,195,30,255,712
7160,173,194,30,255,716
7200,171,192,30,255,720
7240,169,191,30,255,724
7280,168,190,29,255,728
7320,166,189,29,255,732
7360,165,187,28,255,736
7400,163,186,28,255,740
7440,162,185,27,255,744
7480,160,184,27,255,748
7520,158,182,26,255,752
7560,156,181,26,255,756
7600,155,180,25,255,760
7640,153,179,25,255,764
7680,152,177,25,255,768
7720,150,176,25,255,772
7760,149,175,24,255,776
7800,147,174,24,255,780
7840,145,172,23,255,784
7880,143,171,23,255,788
7920,142,170,22,255,792
7960,140,169,22,255,796
8000,139,167,21,255,800
8040,137,166,21,255,804
8080,136,165,20,255,808
8120,134,164,20,255,812
8160,132,163,20,255,816
8200,131,161,20,255,820
8240,129,160,19,255,824
8280,127,159,19,255,828
8320,125,158,18,255,832
8360,124,156,18,255,836
8400,122,155,17,255,840
8440,120,154,17,255,844
8480,119,153,16,255,848
8520,118,151,16,255,852
8560,116,150,15,255,856
